egp_name,n_sas,soma_horas_sas,soma_loc,categoria_predominante,pipeline_family,n_sas_sem_dup,soma_horas_sas_sem_dup,soma_loc_sem_dup,categoria_egp,score_ponderado_egp,categoria_egp_sem_dup,score_ponderado_egp_sem_dup
01 - Atualiza Dim_Unde (versao PBI)_com pós,16,63.49,1221,Trivial,01 - Atualiza Dim_Unde (versao PBI)_com pós,15,62.59,1220,Médio,3.1,Médio,3.1
01_CR_por_UNIDADE,12,36.18,522,Trivial,01_CR_por_UNIDADE,12,36.18,522,Simples,2.5,Simples,2.5
01_PROJETO_SINAL_VITAL_CAPTACAO_252,11,36.9,15743,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,0,0.0,0,Complexo,3.6,Complexo,
01_PROJETO_SINAL_VITAL_CAPTACAO_252 (2),11,123.0,15743,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,11,123.0,15743,Complexo,3.6,Complexo,3.6
01_PROJETO_SINAL_VITAL_CAPTACAO_252 (3),11,50.56,15736,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,2,19.52,3438,Complexo,3.6,Médio,2.7
01_PROJETO_SINAL_VITAL_CAPTACAO_252_v120925,11,86.86,15586,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,6,75.08999999999999,8286,Complexo,3.6,Complexo,3.6
01_PROJETO_SINAL_VITAL_CAPTACAO_261,28,137.59,18767,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261,19,123.92,16582,Complexo,4.0,Complexo,3.45
01_PROJETO_SINAL_VITAL_CAPTACAO_261 (2),14,64.94,13434,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261,9,49.84,3294,Complexo,3.6,Médio,3.15
01_PROJETO_SINAL_VITAL_CAPTACAO_261 - desenvPart4,13,40.24,12284,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261 - desenvPart4,4,15.34,781,Complexo,3.6,Simples,2.1
01_PROJETO_SINAL_VITAL_CAPTACAO_261-antesAlteracaoBolsaEnem,23,88.12,5863,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261-antesAlteracaoBolsaEnem,19,79.67,4627,Complexo,3.75,Médio,3.3
01_PROJETO_SINAL_VITAL_CAPTACAO_261_acrescidas,28,105.94,15469,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_acrescidas,15,86.99,12690,Complexo,3.9,Médio,3.35
01_PROJETO_SINAL_VITAL_CAPTACAO_261_bk20260312,22,87.39,14740,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261,9,68.67,12264,Complexo,3.75,Médio,3.2
01_PROJETO_SINAL_VITAL_CAPTACAO_261_bkpAntesBolsa,25,44.14,14981,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_bkpAntesBolsa,1,3.01,5,Complexo,3.75,Trivial,1.2
01_PROJETO_SINAL_VITAL_CAPTACAO_261_bolsaLiq,25,68.25999999999999,8969,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_bolsaLiq,5,41.169999999999995,4534,Complexo,3.85,Médio,2.95
01_PROJETO_SINAL_VITAL_CAPTACAO_261_zeraBolsas,25,68.42,15560,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_zeraBolsas,8,41.89,9102,Complexo,3.75,Simples,2.45
01_REMAT_261,7,21.07,57,Trivial,01_REMAT_261,7,21.07,57,Trivial,1.5,Trivial,1.5
02 - EXPORT_SERVIDOR_NOVO,1,2.76,55,Trivial,02 - EXPORT_SERVIDOR_NOVO,1,2.76,55,Trivial,1.15,Trivial,1.15
02 - EXPORT_SERVIDOR_NOVO_CAP,1,3.52,46,Trivial,02 - EXPORT_SERVIDOR_NOVO_CAP,1,3.52,46,Trivial,1.3,Trivial,1.3
02_ESTRUTURA_DADOS,11,45.94,847,Trivial,02_ESTRUTURA_DADOS,11,45.94,847,Médio,3.15,Médio,3.15
02_ESTRUTURA_DADOS_V2,14,53.67,762,Trivial,02_ESTRUTURA_DADOS,14,53.67,762,Médio,3.3,Médio,3.3
02_META_261_CAPTACAO,6,31.310000000000002,1571,Trivial,02_META_261_CAPTACAO,6,31.310000000000002,1571,Simples,2.5,Simples,2.5
02_PUBLICA_BASE_FULL_ORACLE_25_2_REMATRICULA,2,9.06,706,Trivial,02_PUBLICA_BASE_FULL_ORACLE_25_2_REMATRICULA,2,9.06,706,Simples,1.85,Simples,1.85
02_PUBLICA_BASE_FULL_ORACLE_261_REMATRICULA,2,2.72,706,Trivial,02_PUBLICA_BASE_FULL_ORACLE_261_REMATRICULA,0,0.0,0,Simples,1.85,Simples,
02_PUBLICA_BASE_METAS_25_2_REMATRICULA,3,9.54,233,Trivial,02_PUBLICA_BASE_METAS_25_2_REMATRICULA,3,9.54,233,Trivial,1.6,Trivial,1.6
02_PUBLICA_BASE_METAS_261_REMATRICULA,3,2.86,233,Trivial,02_PUBLICA_BASE_METAS_261_REMATRICULA,0,0.0,0,Trivial,1.6,Trivial,
02_PUBLICA_ORACLE_25_1_RVV,2,6.529999999999999,336,Trivial,02_PUBLICA_ORACLE_25_1_RVV,2,6.529999999999999,336,Trivial,1.35,Trivial,1.35
03 - EXPORT_SERVIDOR_NOVO - BASE,1,2.76,35,Trivial,03 - EXPORT_SERVIDOR_NOVO - BASE,1,2.76,35,Trivial,1.15,Trivial,1.15
03_META_MOVEL,6,33.92,610,Trivial,03_META_MOVEL,6,33.92,610,Médio,2.9,Médio,2.9
03_PUBLICA_ORACLE_252_BASE_METAS,2,7.54,211,Trivial,03_PUBLICA_ORACLE_252_BASE_METAS,2,7.54,211,Trivial,1.55,Trivial,1.55
03_PUBLICA_ORACLE_252_BASE_SINAIS_VITAIS,3,10.81,343,Trivial,03_PUBLICA_ORACLE_252_BASE_SINAIS_VITAIS,3,10.81,343,Simples,1.85,Simples,1.85
03_PUBLICA_ORACLE_252_PROCESSOS_FI,3,12.83,705,Trivial,03_PUBLICA_ORACLE_252_PROCESSOS_FI,3,12.83,705,Simples,2.15,Simples,2.15
03_PUBLICA_ORACLE_261_BASE_METAS,2,4.9,211,Trivial,03_PUBLICA_ORACLE_261_BASE_METAS,1,3.77,78,Trivial,1.55,Trivial,1.35
03_PUBLICA_ORACLE_261_BASE_SINAIS_VITAIS,3,7.91,216,Trivial,03_PUBLICA_ORACLE_261_BASE_SINAIS_VITAIS,2,6.779999999999999,141,Trivial,1.7,Trivial,1.35
03_PUBLICA_ORACLE_261_PROCESSOS_FI,4,9.27,527,Trivial,03_PUBLICA_ORACLE_261_PROCESSOS_FI,2,6.779999999999999,59,Simples,1.8,Trivial,1.35
04_PUBLICA_ORACLE_252_EMPILHA_SEMANAL_,2,5.779999999999999,138,Trivial,04_PUBLICA_ORACLE_252_EMPILHA_SEMANAL_,2,5.779999999999999,138,Trivial,1.45,Trivial,1.45
04_PUBLICA_ORACLE_261_EMPILHA_SEMANAL_,3,7.029999999999999,149,Trivial,04_PUBLICA_ORACLE_261_EMPILHA_SEMANAL_,2,6.279999999999999,98,Trivial,1.6,Trivial,1.4
05 - Emprega_AI_ajustes_Carmona,17,58.48,552,Trivial,05 - Emprega_AI_ajustes_Carmona,16,57.58,551,Médio,3.2,Médio,3.2
05_PUBLICA_ORACLE_252_PROCESSOS_FI_MENSAL,3,8.9,707,Trivial,05_PUBLICA_ORACLE_252_PROCESSOS_FI_MENSAL,2,7.54,250,Simples,2.0,Trivial,1.5
100_Import_DePara,5,15.12,274,Trivial,100_Import_DePara,5,15.12,274,Trivial,1.4,Trivial,1.4
16 - GeraQvd_FIES - 20_1,5,86.35000000000001,1845,Trivial,16 - GeraQvd_FIES - 20_1,5,86.35000000000001,1845,Complexo,3.95,Complexo,3.95
16apr2020,8,37.91,541,Trivial,16apr2020,8,37.91,541,Médio,2.9,Médio,2.9
16apr2020_v2,6,15.309999999999999,407,Trivial,16apr2020,2,9.06,71,Médio,2.85,Simples,1.95
196621980 Shortname(Recovered Copy),79,304.83,5736,Trivial,196621980 Shortname,78,303.09,5651,Muito Complexo,4.2,Muito Complexo,4.2
1_201901_a_202006 Variaveis para Estudo Arvore de Decisao - Presencial,2,7.54,166,Trivial,1_201901_a_202006 Variaveis para Estudo Arvore de Decisao - Presencial,2,7.54,166,Trivial,1.5,Trivial,1.5
1_202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - old,2,2.2600000000000002,166,Trivial,1_202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial -,0,0.0,0,Trivial,1.5,Trivial,
2,14,129.54,1665,Trivial,2,14,129.54,1665,Muito Complexo,4.25,Muito Complexo,4.25
201901_A_202006 Variaveis para Estudo Arvore de Decisao - EAD,7,23.35,184,Trivial,201901_A_202006 Variaveis para Estudo Arvore de Decisao - EAD,7,23.35,184,Simples,2.0,Simples,2.0
201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial,8,20.02,1234,Trivial,201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial,1,3.52,54,Complexo,3.45,Trivial,1.3
201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial - Copia,8,74.7,1922,Trivial,201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial,7,73.8,1921,Complexo,3.6,Complexo,3.6
201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST KS64,11,30.32,2298,Trivial,201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST KS64,1,3.77,8,Complexo,4.05,Trivial,1.35
201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST KS64 (2),11,88.75,2316,Trivial,201901_A_202006 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST KS64,11,88.75,2316,Complexo,3.9,Complexo,3.9
201901_A_202007 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST,11,36.11,2469,Trivial,201901_A_202007 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST,3,11.059999999999999,218,Complexo,4.05,Trivial,1.65
201901_A_202007 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST - Copia,8,104.13,4926,Trivial,201901_A_202007 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST,4,84.67999999999999,3043,Complexo,3.9,Complexo,3.75
201901_A_202007 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST v2 - Copia,10,36.379999999999995,2332,Trivial,201901_A_202007 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST,1,10.43,73,Complexo,3.9,Simples,2.15
202007_A_202012 Variaveis para Estudo Arvore de Decisao - EAD,27,94.57,1609,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - EAD,27,94.57,1609,Complexo,3.4,Complexo,3.4
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial,2,2.2600000000000002,166,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial,0,0.0,0,Trivial,1.5,Trivial,
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Agrupa_aluno,15,75.50999999999999,2243,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Agrupa_aluno,12,72.35,2070,Complexo,3.65,Complexo,3.65
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Ajustes - bkp,8,21.580000000000002,917,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Ajustes - bkp,1,15.49,594,Médio,2.85,Simples,2.55
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Ajustes_v1,3,7.94,189,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Ajustes,2,7.04,184,Trivial,1.7,Trivial,1.5
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial,15,51.19,5208,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial,1,2.51,10,Complexo,4.05,Trivial,1.1
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - Copia,15,57.65,5257,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial,2,10.33,288,Complexo,4.05,Simples,1.95
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - Copia old,14,69.2,5347,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial,5,29.31,758,Complexo,4.05,Médio,3.1
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - Copia old2,14,47.489999999999995,4958,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - Copia old2,1,4.53,378,Complexo,3.9,Trivial,1.5
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - KS64,13,63.54,4967,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - KS64,8,26.88,544,Complexo,3.9,Médio,2.7
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial Pagante,9,37.45,2625,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial Pagante,3,12.07,397,Complexo,3.95,Simples,1.85
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - TESTE,10,32.24,2909,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - TESTE,4,9.77,205,Complexo,3.75,Trivial,1.3
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - TESTE1,26,120.56,3065,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial - TESTE1,24,118.83,3022,Complexo,3.9,Complexo,3.9
202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial Oficial,15,57.68,3846,Trivial,202007_A_202012 Variaveis para Estudo Arvore de Decisao - Presencial Oficial,6,31.82,846,Complexo,3.9,Médio,2.95
202012 Validação Presencial Financeiro com RAID x Contábil -  com Filtros,9,52.64,1035,Trivial,202012 Validação Presencial Financeiro com RAID x Contábil - com Filtros,9,52.64,1035,Médio,3.3,Médio,3.3
20201215 - Carga_CR_Presencial_Completo,27,101.31,1817,Trivial,Carga_CR_Presencial_Completo,26,100.41,1816,Complexo,3.5,Complexo,3.5
20201218 - Carga_CR_EAD_Completo,15,78.07,1775,Trivial,Carga_CR_EAD_Completo,15,78.07,1775,Médio,3.25,Médio,3.25
20210107 - Carga_CR_Presencial_Completo,22,64.28999999999999,2629,Trivial,Carga_CR_Presencial_Completo,5,42.69,1049,Complexo,3.5,Médio,3.35
20210114 - Carga_CR_Presencial_Completo,27,58.629999999999995,2371,Trivial,Carga_CR_Presencial_Completo,2,29.89,588,Complexo,3.5,Médio,2.8
20210115 - Carga_CR_Presencial_Completo,27,59.82,2550,Trivial,Carga_CR_Presencial_Completo,2,30.4,716,Complexo,3.65,Médio,2.95
20210119 - Carga_CR_Presencial_Completo,37,84.67999999999999,3158,Trivial,Carga_CR_Presencial_Completo,10,53.23,1315,Complexo,3.65,Médio,3.2
20210122 - Carga_CR_Presencial_Completo,47,108.2,3486,Trivial,Carga_CR_Presencial_Completo,14,72.7,1360,Complexo,3.8,Complexo,3.5
20210127 - Carga_CR_EAD_Completo,25,68.31,2220,Trivial,Carga_CR_EAD_Completo,13,51.9,1252,Complexo,3.65,Médio,3.2
202101_a_202106 Variaveis para Estudo Arvore de Decisao - EAD BACKTEST,5,4.66,195,Trivial,202101_a_202106 Variaveis para Estudo Arvore de Decisao - EAD BACKTEST,0,0.0,0,Trivial,1.7,Trivial,
202101_a_202106 Variaveis para Estudo Arvore de Decisao - EAD BACKTEST (2),5,15.559999999999999,195,Trivial,202101_a_202106 Variaveis para Estudo Arvore de Decisao - EAD BACKTEST,5,15.559999999999999,195,Trivial,1.7,Trivial,1.7
202101_a_202106 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - BACKTEST,8,19.41,995,Trivial,202101_a_202106 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - BACKTEST,0,0.0,0,Complexo,3.75,Complexo,
202101_a_202106 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - BACKTEST - KS64,11,69.78,1122,Trivial,202101_a_202106 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - BACKTEST - KS64,9,67.98,1092,Complexo,3.85,Complexo,3.85
202101_a_202106 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST - KS64,13,46.19,1478,Trivial,202101_a_202106 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial BACKTEST - KS64,5,26.78,483,Complexo,4.05,Médio,3.05
202101_a_202106 Variaveis para Presencial - Oficial - BACKTEST - KS64 - TESTE,15,32.74,1198,Trivial,202101_a_202106 Variaveis para Presencial - Oficial - BACKTEST - KS64 - TESTE,4,10.02,76,Complexo,3.85,Trivial,1.4
20210201 - Carga_CR_EAD_Completo,34,78.39999999999999,2429,Trivial,Carga_CR_EAD_Completo,15,57.48,1114,Complexo,3.8,Complexo,3.5
20210205 - Carga_CR_EAD_Completo_aj_repasse,40,72.88,2656,Trivial,Carga_CR_EAD_Completo_aj_repasse,12,41.46,619,Complexo,3.8,Médio,2.65
20210208 - Carga_CR_EAD_Completo,20,63.51,2011,Trivial,Carga_CR_EAD_Completo,7,47.4,1068,Complexo,3.65,Médio,3.35
20210216 - Carga_CR_EAD_Completo,22,64.59,2489,Trivial,Carga_CR_EAD_Completo,6,43.099999999999994,1220,Complexo,3.65,Médio,3.35
20210216 - Carga_CR_EAD_Completo - Batimento Contabil,44,145.60999999999999,5012,Trivial,Carga_CR_EAD_Completo - Batimento Contabil,36,134.63,4289,Complexo,3.65,Complexo,3.65
20210216 - Carga_CR_Presencial_Completo,32,81.18,3232,Trivial,Carga_CR_Presencial_Completo,5,47.29,988,Complexo,3.8,Médio,3.2
20210222 - Carga_CR_Presencial_Completo_WO,38,61.11,2632,Trivial,Carga_CR_Presencial_Completo_WO,8,23.59,245,Complexo,3.65,Simples,2.15
20210223 - Carga_CR_EAD_Completo_WO,19,52.6,2459,Trivial,Carga_CR_EAD_Completo_WO,5,27.58,495,Complexo,3.65,Simples,2.55
20210311 - Carga_CR_Presencial_Completo_WO,55,153.66,4088,Trivial,Carga_CR_Presencial_Completo_WO,25,120.72,2178,Complexo,3.95,Complexo,3.8
20210322 - Carga_CR_Presencial_Completo,38,124.23,3605,Trivial,Carga_CR_Presencial_Completo,16,99.42,2127,Complexo,3.8,Complexo,3.65
20210426 - Carga_CR_Presencial_Completo,47,92.8,3825,Trivial,Carga_CR_Presencial_Completo,13,44.989999999999995,728,Complexo,3.95,Médio,2.8
20210426 - Carga_CR_Presencial_Completo_aging_pep_pmt,48,105.41,3837,Trivial,Carga_CR_Presencial_Completo_aging_pep_pmt,9,62.94,1454,Complexo,3.8,Médio,3.2
202106 - Carga_CR_EAD_Completo_Reprocessamento,27,70.87,725,Trivial,Carga_CR_EAD_Completo_Reprocessamento,23,66.96,597,Médio,2.8,Médio,2.6
202106 - Carga_CR_Presencial_Completo_Reproc,22,94.91,2470,Trivial,Carga_CR_Presencial_Completo_Reproc,17,89.57,2146,Médio,3.35,Médio,3.35
20210719 - Carga_CR_Presencial_Completo - Validação Contabil,65,154.62,4394,Trivial,Carga_CR_Presencial_Completo - Validação Contabil,25,110.64,1863,Complexo,4.1,Complexo,3.8
202107_A_202211 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - BACKTEST,5,68.26,2035,Trivial,202107_A_202211 Variaveis para Estudo Arvore de Decisao - Presencial - Oficial - BACKTEST,4,67.13,1991,Complexo,3.8,Complexo,3.8
202110 RAID,5,21.03,18033,Trivial,202110 RAID,5,21.03,18033,Simples,1.95,Simples,1.95
202111 RAID - Procedimento para Modelo Pagante,6,13.53,18089,Trivial,202111 RAID - Procedimento para Modelo Pagante,3,9.03,103,Simples,1.95,Trivial,1.5
20211111 - Revisao_Percentual_Perda_Presencial,27,78.83,1019,Trivial,Revisao_Percentual_Perda_Presencial,27,78.83,1019,Médio,2.8,Médio,2.8
20211117 RAID - Procedimento para Modelo Pagante,21,64.72999999999999,753,Trivial,20211117 RAID - Procedimento para Modelo Pagante,21,64.72999999999999,753,Simples,2.45,Simples,2.45
20211119 - Revisao_Percentual_Perda_Presencial,11,10.68,414,Trivial,Revisao_Percentual_Perda_Presencial,0,0.0,0,Simples,2.35,Simples,
20211119 - Revisao_Percentual_Perda_Presencial V2,11,19.97,414,Trivial,Revisao_Percentual_Perda_Presencial,4,14.030000000000001,165,Simples,2.35,Simples,2.2
20211207 - Revisao_Percentual_Perda_Presencial,31,54.980000000000004,1373,Trivial,Revisao_Percentual_Perda_Presencial,8,36.13,795,Médio,3.0,Simples,2.55
20211208 - Revisao_Percentual_Perda_EAD,5,24.58,731,Trivial,Revisao_Percentual_Perda_EAD,5,24.58,731,Simples,2.1,Simples,2.1
20211208 - Revisao_Percentual_Perda_EAD_v2,5,28.76,1564,Simples,Revisao_Percentual_Perda_EAD,2,24.66,1141,Médio,3.1,Médio,2.95
20211209 - Revisao_Percentual_Perda_Presencial,31,58.45,2220,Trivial,Revisao_Percentual_Perda_Presencial,1,29.67,848,Complexo,3.5,Médio,3.05
20211209 - Revisao_Percentual_Perda_Presencial_max_aj,31,40.55,2401,Trivial,Revisao_Percentual_Perda_Presencial_max_aj,1,3.77,198,Complexo,3.5,Trivial,1.35
20211214 - Revisao_Percentual_Perda_EAD_v2,12,54.97,1889,Trivial,Revisao_Percentual_Perda_EAD,11,54.37,1873,Médio,3.35,Médio,3.35
20211215_CARTEIRA_PMT_EAD,23,67.99,706,Trivial,20211215_CARTEIRA_PMT_EAD,23,67.99,706,Médio,2.6,Médio,2.6
202201 - Carga_CR_EAD_Completo,26,67.84,2563,Trivial,Carga_CR_EAD_Completo,7,41.44,964,Complexo,3.65,Médio,3.05
202201 Validação Presencial Financeiro com RAID x Contábil -  com Filtros,5,33.06,725,Trivial,202201 Validação Presencial Financeiro com RAID x Contábil - com Filtros,4,32.16,676,Médio,3.15,Médio,3.05
20220111 - Revisao_Percentual_Perda_Presencial,33,42.69,2242,Trivial,Revisao_Percentual_Perda_Presencial,2,5.01,22,Complexo,3.5,Trivial,1.0
20220111_CARTEIRA_PMT_EAD,7,26.53,533,Trivial,20220111_CARTEIRA_PMT_EAD,5,24.88,481,Simples,2.55,Simples,2.35
20220118 - Revisao_Percentual_Perda_EAD_v2,13,20.12,1629,Trivial,Revisao_Percentual_Perda_EAD,2,5.02,31,Médio,3.2,Trivial,1.1
20220118 - Revisao_Percentual_Perda_Presencial,33,56.02,2171,Trivial,Revisao_Percentual_Perda_Presencial,4,28.14,816,Complexo,3.5,Médio,2.7
20220120 - Revisao_Percentual_Perda_EAD_v2,13,30.58,1971,Trivial,Revisao_Percentual_Perda_EAD,3,16.840000000000003,647,Médio,3.35,Simples,2.2
20220120 - Revisao_Percentual_Perda_Presencial,33,55.730000000000004,1991,Trivial,Revisao_Percentual_Perda_Presencial,5,29.84,962,Complexo,3.5,Médio,2.7
202202 - Carga_CR_EAD_Completo,25,42.86,2531,Trivial,Carga_CR_EAD_Completo,2,7.04,140,Complexo,3.65,Trivial,1.5
202202 Validação Presencial Financeiro com RAID x Contábil -  com Filtros,5,25.76,721,Trivial,202202 Validação Presencial Financeiro com RAID x Contábil - com Filtros,3,21.73,359,Médio,3.15,Médio,2.7
20220214 - Carga_CR_Presencial_Completo com Dados Raid - CompJan22 - aj manual,35,126.13,2952,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompJan22 - aj manual,21,109.79,1672,Complexo,3.75,Complexo,3.45
20220215 - Revisao_Percentual_Perda_EAD,15,30.35,901,Trivial,Revisao_Percentual_Perda_EAD,5,20.95,406,Médio,2.85,Simples,2.2
202203 - Carga_CR_EAD_Completo,25,37.93,2531,Trivial,Carga_CR_EAD_Completo,0,0.0,0,Complexo,3.65,Complexo,
202203 Validação Presencial Financeiro com RAID x Contábil -  com Filtros,9,16.15,1035,Trivial,202203 Validação Presencial Financeiro com RAID x Contábil - com Filtros,0,0.0,0,Médio,3.3,Médio,
202203 Validação Presencial Financeiro com RAID x Contábil -  com Filtros (2),9,28.04,1035,Trivial,202203 Validação Presencial Financeiro com RAID x Contábil - com Filtros,2,16.990000000000002,382,Médio,3.3,Simples,2.45
20220321 - Carga_CR_Presencial_Completo com Dados Raid - CompFev22 - aj manual,35,123.64,4017,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompFev22 - aj manual,12,94.12,1902,Complexo,3.65,Complexo,3.5
20220321 - Carga_CR_Presencial_Completo com Dados Raid - CompMar21 - aj manual,35,69.15,4017,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompMar21 - aj manual,3,16.28,387,Complexo,3.65,Simples,2.5
202204 - Carga_CR_EAD_Completo,25,37.93,2531,Trivial,Carga_CR_EAD_Completo,0,0.0,0,Complexo,3.65,Complexo,
202204 - Carga_CR_Presencial_Completo com Dados Raid - CompAbr21 - aj manual,35,64.05,4016,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompAbr21 - aj manual,3,9.54,133,Complexo,3.65,Trivial,1.55
202204 Contabilizar Gap_Save mensalmente,4,28.029999999999998,436,Simples,202204 Contabilizar Gap_Save mensalmente,4,28.029999999999998,436,Médio,2.8,Médio,2.8
202205 - Carga_CR_EAD_Completo,25,40.04,2531,Trivial,Carga_CR_EAD_Completo,1,3.01,54,Complexo,3.65,Trivial,1.2
202205 - Carga_CR_Presencial_Completo com Dados Raid - CompMai21 - aj manual,35,67.35,3843,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompMai21 - aj manual,4,17.44,303,Complexo,3.65,Simples,2.4
202205 Validação EAD,8,21.02,175,Trivial,202205 Validação EAD,8,21.02,175,Simples,1.8,Simples,1.8
202206 - Carga_CR_EAD_Completo,25,39.56,1404,Trivial,Carga_CR_EAD_Completo,4,14.32,77,Complexo,3.5,Simples,1.8
202206 - Carga_CR_Presencial_Completo com Dados Raid - CompJun21 - aj manual,39,72.92,3426,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompJun21 - aj manual,8,27.83,349,Complexo,3.8,Simples,2.5
202206 Contabilizar Gap_Save mensalmente,3,26.66,418,Simples,202206 Contabilizar Gap_Save mensalmente,3,26.66,418,Médio,2.65,Médio,2.65
202207 - Carga_CR_EAD_Completo,25,77.46000000000001,2545,Trivial,Carga_CR_EAD_Completo,7,56.24,1547,Complexo,3.65,Médio,3.35
202207 - Carga_CR_EAD_Elton,6,9.23,736,Trivial,Carga_CR_EAD_Elton,0,0.0,0,Médio,2.65,Médio,
202207 - Carga_CR_Presencial_Completo com Dados Raid - CompJun21 - aj manual,42,53.25,3201,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompJun21 - aj manual,0,0.0,0,Complexo,3.8,Complexo,
202207 - Carga_CR_Presencial_Completo com Dados Raid - CompJun21 - aj manual - Copia,42,110.86,3201,Trivial,Carga_CR_Presencial_Completo com Dados Raid - CompJun21 - aj manual,18,82.28,1260,Complexo,3.8,Médio,3.35
202207 Validação Presencial Financeiro com RAID x Contábil -  com Filtros,9,32.03,531,Trivial,202207 Validação Presencial Financeiro com RAID x Contábil - com Filtros,6,28.79,411,Médio,3.0,Médio,2.7
202208 - Carga_CR_EAD_Completo,25,41.36,2441,Trivial,Carga_CR_EAD_Completo,3,6.819999999999999,65,Complexo,3.65,Trivial,1.2
202208 - Carga_CR_EAD_Completo_BASE MODELO ATUAL NO BACKTEST,24,38.44,840,Trivial,Carga_CR_EAD_Completo_BASE MODELO ATUAL NO BACKTEST,5,21.46,365,Médio,3.0,Simples,2.35
