egp_name,n_sas,soma_horas_sas,soma_loc,categoria_predominante,pipeline_family,n_sas_sem_dup,soma_horas_sas_sem_dup,soma_loc_sem_dup,categoria_egp,score_ponderado_egp,categoria_egp_sem_dup,score_ponderado_egp_sem_dup
Engagajamento_Final,5,10.829999999999998,68,Trivial,Engagajamento_Final,3,9.03,36,Trivial,1.5,Trivial,1.2
Engagajamento_Final (2),5,19.9,325,Trivial,Engagajamento_Final,5,19.9,325,Simples,2.5,Simples,2.5
Engagajamento_Final 1 (1),5,11.15,325,Trivial,Engagajamento_Final 1,1,6.63,232,Simples,2.5,Simples,1.85
Engagajamento_Final_20240710 (4),5,11.15,383,Trivial,Engagajamento_Final,1,6.63,290,Simples,2.5,Simples,1.85
Engajamento_ADOBE,1,1.99,440,Simples,Engajamento_ADOBE,0,0.0,0,Simples,1.85,Simples,
Especificações PI3,6,18.06,207,Trivial,Especificações PI3,6,18.06,207,Trivial,1.5,Trivial,1.5
Especificações PI3_v1,3,9.03,151,Trivial,Especificações PI3,3,9.03,151,Trivial,1.5,Trivial,1.5
Estrutura Base Acordos 2023,26,85.51,2503,Trivial,Estrutura Base Acordos 2023,25,84.61,2502,Médio,2.9,Médio,2.9
Extrai base Cogna Labs Tese Trabalhabilidade e Socio Emocional,4,14.07,161,Trivial,Extrai base Cogna Labs Tese Trabalhabilidade e Socio Emocional,4,14.07,161,Simples,1.9,Simples,1.9
Extração,1,3.01,10,Trivial,Extração,1,3.01,10,Trivial,1.2,Trivial,1.2
FATURAMENTO_2026,8,20.15,70,Trivial,FATURAMENTO_2026,8,20.15,70,Trivial,1.3,Trivial,1.3
FATURAMENTO_EMAIL_2026,1,2.0,31,Trivial,FATURAMENTO_EMAIL_2026,1,2.0,31,Trivial,1.0,Trivial,1.0
FATURAMENTO_FINAL3 (4),14,41.73,407,Trivial,FATURAMENTO_FINAL3,13,41.129999999999995,391,Simples,2.45,Simples,2.3
FATURAS,12,11.95,298,Trivial,FATURAS,0,0.0,0,Simples,2.45,Simples,
FATURAS - Copia,12,37.809999999999995,298,Trivial,FATURAS,11,36.91,260,Simples,2.45,Simples,2.45
FGEDUC - SUBIDA_CARGA_valida hora Razão,5,6.8,201,Trivial,FGEDUC - SUBIDA_CARGA_valida hora Razão,1,3.27,41,Simples,1.85,Trivial,1.25
Faturas Retroativa_ATUAL,8,15.200000000000001,921,Trivial,Faturas Retroativa_ATUAL,0,0.0,0,Médio,3.25,Médio,
Faturas Retroativa_ATUAL (2),8,50.72,921,Trivial,Faturas Retroativa_ATUAL,8,50.72,921,Médio,3.25,Médio,3.25
Faturas Retroativa_ATUAL (3),8,15.200000000000001,921,Trivial,Faturas Retroativa_ATUAL,0,0.0,0,Médio,3.25,Médio,
Faturas Retroativa_ATUAL (4),8,15.200000000000001,921,Trivial,Faturas Retroativa_ATUAL,0,0.0,0,Médio,3.25,Médio,
Faturas Retroativa_ATUAL (5),8,15.200000000000001,921,Trivial,Faturas Retroativa_ATUAL,0,0.0,0,Médio,3.25,Médio,
Faturas Retroativa_ATUAL (6),8,15.200000000000001,921,Trivial,Faturas Retroativa_ATUAL,0,0.0,0,Médio,3.25,Médio,
Faturas Retroativa_ATUAL_02,8,15.92,1116,Trivial,Faturas Retroativa_ATUAL_02,0,0.0,0,Complexo,3.75,Complexo,
Faturas Retroativa_ATUAL_02 (2),8,51.29,1116,Trivial,Faturas Retroativa_ATUAL_02,8,51.29,1116,Complexo,3.75,Complexo,3.75
Faturas Retroativa_ATUAL_02 (3),8,15.92,1116,Trivial,Faturas Retroativa_ATUAL_02,0,0.0,0,Complexo,3.75,Complexo,
Faturas Retroativa_ATUAL_02 (4),8,15.92,1116,Trivial,Faturas Retroativa_ATUAL_02,0,0.0,0,Complexo,3.75,Complexo,
Faturas Retroativa_ATUAL_02 (5),8,15.92,1116,Trivial,Faturas Retroativa_ATUAL_02,0,0.0,0,Complexo,3.75,Complexo,
Faturas Retroativa_ATUAL_02 (6),8,15.92,1116,Trivial,Faturas Retroativa_ATUAL_02,0,0.0,0,Complexo,3.75,Complexo,
Fidelizacao_EAD_Presencial,5,11.979999999999999,81,Trivial,Fidelizacao_EAD_Presencial,5,11.979999999999999,81,Trivial,1.65,Trivial,1.65
